Level,College,MajorDesc,,CIPCode,,
GR,CB,Accounting,,520301,,
UG,CB,Accounting,,520301,,
UG,UC,Accounting - PBBA,,520301,,
UG,CM,Applied Mathematics,,270399,,
UG,OM,Architectural Studies,,40803,,
UG,OM,Architecture,,40202,,
UG,CV,Art Education,,131302,,
UG,OM,Art Education,,131302,,
UG,WC,Art Education,,131302,,
UG,CV,Art History,,500703,,
UG,OM,Art History,,500703,,
UG,WC,Art History,,500703,,
UG,CV,Art Studies,,500701,,
UG,OM,Art Studies,,500701,,
UG,WC,Art Studies,,500701,,
UG,CS,Asian Studies,,50103,,
UG,CE,Audio and Video Production,,90402,,
UG,CE,Audio and Video Production,,90402,,
GR,CE,Audio Engineering,,100203,,
UG,CE,Audio Engineering Technology,,100203,,
UG,CE,Audio Engineering Technology,,100203,,
UG,CT,Biblical Languages,,161103,,
UG,CT,Biblical Studies,,390201,,
UG,CM,Biochemistry and Molecular Bio,,260210,,
UG,CM,Biology,,260101,,
UG,CM,Biophysics,,512205,,
UG,CM,Biophysics,,512205,,
UG,CB,Business Administration,,520101,,
UG,UC,Business Administration,,520101,,
UG,CB,Business Systems & Analytics,,521301,,
GR,CH,Certificate-NUR,,,,
UG,CM,Chemistry,,400501,,
UG,CT,Christian Leadership,,399999,,
UG,CT,Church Leadership & Admin,,399999,,
GR,CV,Church Music,,500999,,
GR,MP,Church Music,,500999,,
UG,CV,Church Music,,500999,,
UG,MP,Church Music,,500999,,
GR,CV,Commercial Music,,500999,,
GR,MP,Commercial Music,,500999,,
UG,CV,Commercial Music,,500999,,
UG,MP,Commercial Music,,500999,,
GR,CV,Commercial Music Media Writing,,500999,,
GR,MP,Commercial Music Media Writing,,500999,,
GR,CV,Commercial Music Performance,,500903,,
GR,MP,Commercial Music Performance,,500903,,
UG,CS,Communication Studies,,90101,,
UG,CS,Communication Studies,,90101,,
UG,CM,Computer Science,,110101,,
UG,CS,Corporate Communication,,90199,,
UG,CS,Corporate Communication,,90199,,
UG,CE,Creat & Entertain Industries,,501001,,
UG,CE,Creat & Entertain Industries,,501001,,
UG,CM,Data Science,,521301,,
UG,CV,Design Communications,,500401,,
UG,OM,Design Communications,,500401,,
UG,WC,Design Communications,,500401,,
UG,CS,Early Childhood Education,,131210,,
UG,CS,Early Childhood Education,,131210,,
UG,CB,Economics,,520601,,
UG,CB,Economics,,520601,,
GR,CS,Education Leader -Teacher,,139999,,
UG,CS,Elementary Ed Licensure,,131202,,
UG,CS,Elementary Ed Licensure,,131202,,
UG,CE,Emerging Media,,90702,,
UG,CE,Emerging Media,,90702,,
UG,CM,Engineering Physics,,141201,,
UG,CM,Engineering Physics,,141201,,
GR,CS,English,,230101,,
UG,CS,English,,230101,,
GR,CS,English Second Language,,139999,,
UG,CE,Entertainment Industry Studies,,501001,,
UG,CE,Entertainment Industry Studies,,501001,,
