Recipient Primary Major,Recipient Secondary Majors,Recipient Graduation Date,Recipient Education Level,Recipient Primary College,Recipient Gender,Recipient Ethnicity,Recipient Visa Status,Recipient Veteran Status,Recipient First Generation,Recipient Athlete Status,Recipient Hometown,Recipient Graduation Group Name,Response Primary Major,Response Secondary Majors,Response Education Level,Response Graduation Date,Response Primary College,Response Status,Response Date,Outcome,Employer Name,Employer Industry,Employment Category,Employment Type,Job Function,Job Position,Found through Handshake,Employed During Education,Internship,Continuing Education School,Continuing Education Level,Continuing Education Major,Is Fellowship?,Fellowship Name,Military Branch,Military Rank,Specialization,Still Looking Option,Not Seeking Option,Location,Offer Date,Accept Date,Start Date,Annual Salary,Pay Schedule,Bonus Amount,Other Compensation,Authorized to work in US?,Knowledge Response?,Knowledge Source,How many additional offers did you receive?,In how many different positions will you be employed?,Which of the following best describes your primary position?,Which of the following best describes your view of your primary position?,How related is this position to your degree? ,Which of the following helped you find and/or obtain this position?  (Please select ALL that apply),How many additional organizations did you volunteer with during your time at Belmont?,Did you look for full time employment before deciding to go to graduate school?,Indicate how the university you will be/are attending ranks in regard to your choice:,What type of degree or continue education credit do you plan on earning?,Which of the following best describes this position?,What types of opportunities are you looking for?,How many times did you use the services or resources of your career development office?,How many times did you use the services or resources of your career development office?,"While studying for your degree, did you do any of the following? (Please select ALL that apply)",How likely would you recommend using the services and resources available through your Career Development office to a future student?
Accounting,Finance,5/1/2019,Bachelors,College of Business,,,U.S. Citizen,,,,,,Accounting,,Bachelors,5/1/2019,,submitted,2019-07-22 17:37:19 UTC,Working,UBS,Investment / Portfolio Management,Organization,Full-Time,Other,Securities Specialist,,,,,,,,,,,,,,"Nashville, Tennessee, United States of America",,,5/1/2019,,,,,,Yes,Survey Response,,,,,,,,,,,,,,,,
Accounting,Honors,5/1/2019,Bachelors,College of Business,,,U.S. Citizen,,,,,,Accounting,,Bachelors,5/1/2019,,submitted,2019-04-23 17:27:14 UTC,Working,"Flood, Bumstead, McCready, & McCarthy, Inc.",Accounting,Organization,Full-Time,Accounting,Account Assistant,Yes,,,,,,,,,,,,,"Nashville, Tennessee, United States of America",3/1/2019,3/1/2019,6/1/2019,37000,Annual Salary,,,,,Survey Response,0,Only 1 position,New position and a new employer / organization since graduation,,4,"Having an internship or experiential education experience with this organization during my time at Belmont, A job posting or resume referral through Handshake (formerly CareerConnector), An online job posting and/or social media site (LinkedIn, Indeed, company websites), My personal contacts (family and/or friends), A Belmont alumnus",,,,,,,,,,5
Accounting,Honors,5/1/2019,Bachelors,College of Business,,,U.S. Citizen,,,,,,Accounting,,Bachelors,5/1/2019,,submitted,2019-03-28 21:16:18 UTC,Continuing Education,,,,,,,,,,Belmont University,Masters,Sports Administration,,,,,,,,"Nashville, Tennessee, United States of America",,,,,,,,,,Survey Response,,,,,,,,No,First choice,"Other Master's Degree (M.S.W., M.S.O.T., M.S.E., M.S.N., M.A.T., M.Ed., M.Acc., or M.F.A.)",,,,,Part-time job,4
Accounting,Management,5/29/2019,Bachelors,College of Business,Female,White/Caucasian,U.S. Citizen,,,,"Portland, Oregon, United States",,Accounting,Management,Bachelors,5/29/2019,,submitted,2018-11-26 15:24:35 UTC,Not Seeking,,,,,,,,,,,,,,,,,,,Other,,,,,,,,,,Yes,Survey Response,,,,,,,,,,,,,,,,
Accounting,Management Information Systems,12/6/2018,Bachelors,College of Business,,,U.S. Citizen,,,,,18-Dec,Accounting,,Bachelors,12/1/2018,,submitted,2019-02-20 23:46:57 UTC,Working,AMSURG,Healthcare,Organization,Full-Time,Accounting,Staff Accountant,Yes,,,,,,,,,,,,,"Nashville, Tennessee, United States of America",1/30/2019,2/1/2019,2/18/2019,50000,Annual Salary,0,,TRUE,,Survey Response,0,Only 1 position,New position and a new employer / organization since graduation,This is a professional position that aligns with my long term career goals,5,"A job posting or resume referral through Handshake (formerly CareerConnector), An online job posting and/or social media site (LinkedIn, Indeed, company websites), My personal contacts (family and/or friends), Other: Good connections from my previous job at the Belmont Store",,,,,,,,,Part-time job,3
Accounting,Management Information Systems,5/1/2019,Bachelors,College of Business,Male,Latino(a),U.S. Citizen,,,,,,Accounting,,Bachelors,5/1/2019,,submitted,2019-04-03 15:27:34 UTC,Working,EY,Accounting,Organization,Full-Time,Information Technology,Systems Analyst,Yes,,,,,,,,,,,,,"Nashville, Tennessee, United States of America",11/10/2018,12/3/2018,7/12/2019,65000,Annual Salary,5000,0,FALSE,,Survey Response,2,Only 1 position,New position and a new employer / organization since graduation,This is a professional position that aligns with my long term career goals,5,"One of my professors or my academic advisor, An event, service, or direct connection supported by Belmont's Career Development Team, A job posting or resume referral through Handshake (formerly CareerConnector)",,,,,,,,,Part-time job,5
Accounting,Management Information Systems,8/1/2018,Bachelors,College of Business,,,U.S. Citizen,,,,,,Accounting,Management Information Systems,Bachelors,8/10/2018,,submitted,2018-08-06 16:00:20 UTC,Continuing Education,,,,,,,,,,Belmont University,Masters,Accountancy-MACC,,,,,,,,"Nashville, Tennessee, United States of America",,,,,,,,,,Survey Response,,,,,,,,No,First choice,,,,,,,
Accounting,Management Information Systems,5/1/2019,Bachelors,College of Business,,,U.S. Citizen,,,,,,Accounting,,Bachelors,5/1/2019,,submitted,2019-07-22 17:42:08 UTC,Working,Guardian Healthcare,Healthcare,Organization,Full-Time,Other,Accounting Operations Specialist,,,,,,,,,,,,,,"Nashville, Tennessee, United States of America",,,6/1/2019,,,,,,Yes,Survey Response,,,,,,,,,,,,,,,,
Accounting,Music Business,5/30/2019,Bachelors,College of Business,,,U.S. Citizen,,,,,,Accounting,,Bachelors,5/1/2019,,submitted,2019-04-24 18:35:28 UTC,Continuing Education,,,,,,,,,,Belmont University,Masters,Accountancy-MACC,,,,,,,,"Nashville, Tennessee, United States of America",,,,,,,,,,Survey Response,,,,,,,,,First choice,,,,,,Part-time job,5
Accounting,,8/6/2018,Masters,College of Business,,,Student (F-1) Visa,,,,,,Accounting,,Masters,8/1/2018,,submitted,2019-12-18 19:27:22 UTC,Working,SGA Youth and Family Services,Non-Profit - Other,Organization,Full-Time,Accounting,Staff Accountant,,,,,,,,,,,,,,"Chicago, Illinois, United States of America",,,10/15/2019,45000,Annual Salary,,,,,Survey Response,,,,,,,,,,,,,,,,
